Code NAF,Raison Sociale,Groupe,Adresse,Code Postal,Ville,Tel Standard,Secteurs,Type,Observations
7112B,JFC - MEGA FORTRIS FRANCE,,rue des famards_x000D_acticentre CRT 2,59818,LESQUIN,+33 3 20 16 88 77,Emballage|Industrie/,prospect ,"immatriculée en 2006_x000D_MEGA FORTRIS est placé comme leader en tant que concepteur - fabricant de scellés de sécurité, enveloppes et adhésifs sécurisés à travers le monde : consiste à sécuriser les valeurs et permettre à nos clients d'assurer un suivi logistique des biens transportés._x000D__x000D_09/05/11 : personne désagréable, pas de besoins_x000D_"
,JOUVE SYSTEME INFORMATIQUE (J.S.I),,30 rue gard,62300,Lens,+33 3 21 13 45 75,Informatique – Constructeurs|Industrie/,prospect ,"_x000D__x000D_15/06/11 : contact Mme VARSOVIE : très bon contact, sont en train de finaliser un partenariat avec un cabR pour un poste  mais elle en recherche un autre pour un autre poste ou pour plus tard, souhaite nous rencontrer le 24/06/11 à 9h30  pour échanger plus en détails, senssible à ma présentation et à nos valeurs > RDV"
4669B,JUNGHEINRICH FRANCE,,rue du mt de Sainghin_x000D_CRT 2,59818,LESQUIN,+33 3 20 90 45 50,Mécanique-Machines Outils|Industrie/,prospect ,"> initialement constructeur de matériels de manutention, l'entreprise est devenu un fournisseur de solutions logistiques globales + propose SAV_x000D_> http://www.jungheinrich.fr/_x000D__x000D_10/05/11 : c'est le siège social qui gère 01 39 45 68 68 à VELIZY_x000D_11/05/11 : contact Mr SANTOS : c'est lui gère les recrutements, préssé + déja nombreux partenaires,satisfait de ses partenaires, souhaite que je lui envoie un mail  pour être identifié, recrutement@jungheinrich.fr >  rel rentrée_x000D_13/09/11 :  Mr SANTOS : ne vont externaliser aucun recrutement jusqu'à fin 2011 > rel début d'année_x000D_21/03: c'est mme irène BENTO qui s'occupe des recrutements maintenant, la recontacter ultérieurement...._x000D_13/06/12: rappeler 18/06 car abs, ses coord directes sont 62 54"
,KBANE,,1 Rue Louis Constant,59491,Villeneuve d'Ascq,+33 3 61 08 56 00,Distribution spécialisée|Distribution/,prospect ,"* spécialiste de l'habitat durable et les nouvelles énergies_x000D__x000D_24/05/11 : contact Md MOQUET : recrute un aide comptable, travaille avec 2 cabinetd de recrutement (page personnel et ?),lui ont proposé des profils mais pas encore le bon, ""on a pas trouvé la personne qui nous convient"", reçoiit demain un autre cabinet de recrutement. Ne souhaite pas nous recevoir car elle manque vraiment de temps et à peur de trop s'étendre > je lui propose un entretien téléphonqie pour une prise de contact et pour en savoir plus sur le poste le mardi 24/05/11 à 14h_x000D_ligne direct 03.61.08.56.12_x000D__x000D_offre : http://www.google.fr/search?sourceid=chrome&ie=UTF-8&q=kbane#sclient=psy&hl=fr&source=hp&q=kbane+Marquette-lez-Lille&aq=f&aqi=&aql=&oq=&pbx=1&bav=on.2,or.r_gc.r_pw.&fp=1b4c9e0b04e076_x000D__x000D_24/05 : amelie rappelle mme moquet suite echange avec nicolas. recherche jeune diplomée à former avec potentiel comptable à) 2/3 ans. 1500 brut mensuel. souple, ouvert, moderne, réactif_x000D_travaille avec page personne, robert half et yopu search._x000D_valeur entreprise : optimisme, sincérité, eco exemplarité, autonomie._x000D_envoi mr kerbach??_x000D_27/06: mme moquet en séminaire tte la semaine"
,KIABI,,100 rue du calvaire,,,0320814956,,prospect ,rencontré ingrid duponchel en juillet 2010._x000D_pas de suite depuis. a relancer
7729Z,KILOUTOU,,rue du chemein vert_x000D_CRT 3,59818,LESQUIN,+33 3 20 90 44 60,,prospect ,
,KILOUTOU SIEGE,,70 Avenue de Flandre _x000D__x000D__x000D_,59700,Marcq en Baroeul,+33 3 59 56 54 00,Services - Conseil|,prospect ,"* location matériel divers_x000D_* onglet emplois : recrute sur marcq en b_x000D__x000D_17/05/11 : contact standard : c'est le siège de Marq en B qui s'occupe des rh, 03 59 56 54 00_x000D_17/05/11 : contact siège : service rh occupé, rappeler vendredi + env mail à Mme BEGUE pbegue@kiloutou.fr_x000D_23/05/11: contact Mme MOTTE assitante rh :  recrute en interne, mais font appel à des cabR avec lesquels ils ont l'habitude de travailler pour des postes à responsabilité, env mail jmotte@kiloutou.fr > rel besoins et consulter site @ de recrutement_x000D_12/10/11 : Mme MOTTE, me conseille d'envoyer un mail à la RH pleborgne@kiloutou.fr > rel s+1 _x000D_28/10/11 : Mme MOTTE : sont très sollicité, si besoin les cabR sont appelés_x000D_10/02/12 : env mail relance jmotte@kiloutou.fr"
2651B,KIMO,,rue des famrds_x000D_CRT 2_x000D_,59818,LESQUIN,+33 3 20 90 92 95,Electronique-Instrumentation|Industrie/,prospect ,"fabricant d'instruments de mesure_x000D_sur son site @  Recrute_x000D__x000D_ tous les recrutements se font au siège à Bordeaux 05 53 80 85 00_x000D_12/05/11 : contact siège : resp rh en vacances c'est Mlle GUILLON_x000D_17/05/11 :  env mail a.guillon@kimo.fr > rel j+1_x000D_18/05/11 : contact assitante : Mlle GUILLON à pris connaissance du mail, nous contact si besoin > rel aout"
,KINGFISHER,,Parc d'Activites  ,59175,Templemars,+33 3 20 16 75 75 _x000D_,SSII|Services - Conseil/,prospect ,Appelé le 05/04_x000D_Repondeur
5229B,KOBA,,2 rue de Berzin_x000D_CRT 2_x000D_BP 505,59812,LESQUIN,+33 3 20 87 09 86,,prospect ,"entreprise de routage et de messagerie_x000D__x000D__x000D_12/05/11 : c'est le siège qui gère 01 69 10 63 63, demander la DRH_x000D_12/05/11 : contact siège : drh abs"
3312Z,KONECRANES,,rue des famards_x000D_acticentre A CRT 2_x000D_,59818,LESQUIN,+33 3 20 18 02 80,Mécanique-Machines Outils|Industrie/,prospect ," Fabrication de matériel de levage et de manutention_x000D__x000D__x000D_10/05/11 : c'est le siège qui gère les recrutements 02 38 71 94 00 (Orléans)_x000D_10/05/11 : contact stand siège : me dit que c'est Mme DELEFOSSE qui gère les recrutements (marylene.delefosse@konecranes.com),_x000D_20/05/11 : contact Mme DELEFOSSE : part en vacances ce soir, travail avec 2 cabinets de recrutement sur Paris, très satisfaite, recrute en interne mais sollicite des cabR sur des postes précis, intéressée quand je lui est dit que l'on est sur LE NPC, bon échange, me conseille de lui envoyer un mail et si besoin sur le NPC nous contactera> la relancer en juilllet et regarder les offres de poste de temps en temps_x000D_appeler mme delefosse au 0237389595"
7022Z,KORELO,,84 Boulevard du Général Leclerc,59100,Roubaix,+33 3 20 17 63 77,Conseil|Services - Conseil/,prospect ,
,KPFI,,122 RUE NATIONALE_x000D__x000D_,59800,Lille,+33 3 20 07 13 13,Banque - Finance - Assurance|,prospect ,Appelé le 29/03_x000D_Pas disponible pour le moment.
,KPMG,,,,lille,+33 3 3 20 20 65 00,,prospect ,16/06/11 : contact assistante rh : me dit de revenir vers eux à la rentrée ; 14/09/11 : laissé cc ; 29/09/11 : emploi du temps chargé > rel mi octobre
,LA CREQUOISE,,Rue De Saint Omer,62310,Fruges,Tél.: 0321475555,,prospect ,Appelé le 21/03 _x000D_Mme PALLAIN.
,LA HALLE AU CHAUSSURES ET VETEMENTS,,28 av Flandre,75019,Paris,+33 1 44 72 30 01,Hyper-Super-Grands Magasins|Distribution/,prospect ,"_x000D_24/05/11 : contact Mr LELIEVRE, rh responsable magasin : il a tous les moyens (promo interne + sourcing), son collègue qui est en congé passe par des cabR pour des directeurs de régions, env mail pour qu'il lui en parle, n.lelievre@hac-cld.fr> rel s+1_x000D__x000D_21/06/11 : laisser message > rel aout"
,LABORATOIRES ANIOS,,Pavé Moulin_x000D__x000D__x000D_,59260,Hellemmes Lille,+33 3 20 67 67 67,Chimie Fine-Parachimie|Industrie/,prospect ,envoyé mail. à relancer debut juillet
,LAMYLUTTI,,262 Rue Albert Calmette ,59910,Bondues,03 20 11 31 00,Industrie|,prospect ,Appelé le 21/03_x000D_Dispose d'un pole recrutement au sein de l'entreprise._x000D_Mail envoyé le 21/03
4520B,LAVATRANS,,rue des sureaux_x000D_sainghin en mélantois PAM_x000D_,59818,LESQUIN,+33 3 20 54 57 72,Nettoyage industriel-Sécurité|Services - Conseil/,prospect ,"* nettoyage de poids lourds_x000D_* onglet emploi_x000D__x000D_16/05/11 : contact Mme HAUSPIE (femme du gérant) :  la pleine période est l'hiver, pas de besoins > rel en septembrep our connaître ses besoins et voir si besoins de commerciaux"
,LE BOURGET,,,02,FRESNOY LE GRAND,+33 3 23 09 33 00,Textile-Habillement-Chaussures|Industrie/,prospect ,laissé carte de visite à mr thurotte _x000D_Pas de recrutement à venir mais le DG recrute des commerciaux toute france avec des CR parisiens._x000D_A relancer
,LE CREUSET,,rue olivier deguyse,02230,Fresnoy le Grand,0323062222,Equipement de la Maison|Industrie/,prospect ,1 à 2 recrutements par an - _x000D_recherche des valeurs humaines fortes et transmission d'une bonne image auprès des candidats_x000D_rdv le 12/04 à 15H00_x000D_à relancer sur les postes d'opérateurs notamment dans 15 jours_x000D__x000D_eu au tel le 04/05/2011 - pas de besoins en cours à rappeller en septembre pour faire point
,LEARNING CURVE,,,,MARCQ EN BAROEUL,0320818130,,prospect ,2P_x000D_rappeller mme raout car d'autres besoins se profilent._x000D_petite structure donc besoin des bons profils._x000D__x000D_envoi mail le 15/03/11
,LEASECOM,,siege Paris35 quai andre citroen,75738,PARIS cedex 15,+33 1 58 01 15 15,Services - Conseil|,prospect ,"* les solutions de de location financière évolutive leasecom technology, vous bénéficiez d'un matériel toujours performant, d'une maîtrise totale des coûts et d'une gestion simplifiée. Souple, évolutive et globale, la location financière évolutive leasecom technology, vous permet de préserver votre capital, d'anticiper vos besoins et de les financer au mieux de vos intérêts pour assurer votre performance de demain._x000D__x000D_18/05/11 : contact Mme HACHOUF : période de recutement (voir site@), font appel à des cabR de manière ponctuel. elle est en train de voir avec son dg pour mettre en place un partenariat. env mail pour prise de contact >  relancer jeudi pour un rdv sur paris vendredi"
,LEBAS TECHNOLOGIES,,"1 BIS,RUE PIERRE ET MARIE CURIE _x000D__x000D_",59260,Lezennes,+33  3 20 30 24 02,Services - Conseil|,prospect ,Appelé le 29/03_x000D_Demander Mme DESAUVAGE.
,LEFEBVRE TEXTILE,,21 Rue du Luyot ,59113,Seclin,+33 3 20 62 24 24,Négoce-Commerce de gros industriel|Distribution/,prospect ,Aucun contact en direct. envoyé mail_x000D_Recrute un commercial Nord en mars_x000D_
,LEFROID PECOMARK,,rue des famards_x000D_FRETIN CR2,59818,LESQUIN,+33 3 20 70 39 78,Distribution spécialisée|Distribution/,prospect ,"distributeur de composants pour la réfrigération et la climatisation. Notre métier est de mettre à disposition des frigoristes, climaticiens, et cuisinistes professionnels l'ensemble des composants nécessaires à la réalisation ou la maintenance d'une installation._x000D__x000D_12/05/11: contact standard : c'est Mr COUSIN Serge qui gère les RH, laisser mes coordonnées > rel_x000D_17/05/11 : contact standard : a prie mes coordonnées, en vac_x000D_27/05/11 : env mail civ@civ.fr_x000D_31/05/11 : fait partie d'un groupe d'entreprise aui regroupe 5 cabinets de recrutements, ne souhaite pas nous intégrer"
,LEMAHIEU,," 480 Avenue Mar De Lattre de Tassigny, ",,Saint-André-lez-Lille,03 20 51 62 42,,prospect ,Appelé le 21/03_x000D_Pas de recrutement actuellement.
,LENER CORDIER,,"39 rue de Merville, BP 80059 - ",59529,,03 28 42 91 11,Industrie|,prospect ,Appele le 16/03._x000D_Md BOULIER est malade retour prevu la semaine suivante.
,LENREK INFORMATIQUE,,14 rue Arthur Lamendin,62300,Lens,+33 9 50 27 80 15 ou,SSII|Services - Conseil/,prospect ,Dev JAVA / J2EE
,LES BRASSEURS DE GAYANT,,63 Rue du Faubourg de Paris,59500,Douai,+33 3 27 93 26 22,Agroalimentaire-Tabac|Industrie/,prospect ,Font leur recrutement à 100% en interne. Ne passe jamais par les cabinets de recrutement. N'ont pas de recrutement prévu pour le moment.
,LES DELICES DES 7 VALLEES,,436 Rue Mingoval_x000D_,62690,Aubigny en Artois,03 21 03 91 30,Industrie|,prospect ,Appelé le 21/03 _x000D_Echange uniquement par mail : envoyé le 21/03
,LES MOULINS DE SAINT AUBERT,,,,,03 21 61 39 02 servi,,prospect ,Appelé le 21/03_x000D_Contacter Melle CREPIN resp service production._x000D_Mail envoyé le 18/04
3312Z,LIFTMAN ASCENCEURS,,rue des sureaux_x000D_sainghin en mélantois PAM_x000D_,59818,LESQUIN,+33 3 20 95 98 72,Maintenance industrielle|Services - Conseil/,prospect ,"> Installation et reparation d'ascenseurs et de monte-charge_x000D__x000D_09/05/11 : c'est Mme DUTRIEZ qui gère les recrutements, passe par pole emploi, effectif 14, pas de projets pour le moment_x000D_envoie mail au standard qui le transmettra à Mme DUTRIEZ : liftman-ascenseurs@wanadoo.fr_x000D_12/05/11 : contact assitante : elle interroge Mme DUTRIEZ, pas de besoins pour le moment > rel juin_x000D_06/06/11 : pas de besoins > rel rentrée"
,LIGARE SAS,,Rue gabirel laurelle,59880,Saint Saulve,+33 3  27 40 42 70,Industrie|,prospect ,CHAGRE D'AFFAIRES EN TUYAUTERIE INDUSTRI
,LINEAL,, RUE DE FIVES_x000D_ - BP 334 ,59666,Villenueve d'asq,+33 3 20 41 40 76,Conseil|Services - Conseil/,prospect ,"agence conseil en communication_x000D__x000D_19/05/11 : contact Mr CAPILLI : dg, souvent en déplacement, me dit de travailler sur l'offre et de lui proposer des profils, il a 2 rh qui travaillent_x000D_ecapilli@lineal.fr_x000D__x000D_25/05 : déja recruté le profil mais recherche un commercial ""chasseur"" qui va lui créer un besoin, lui proposé des profils par mail_x000D_16/06/11 : j'envoie une candidate (Mme DUFAY) pour un échange avec Mr CAPILLI."
,LIOT SAS,,453 Boulevard République 62232 Annezin - ,62232,Annezin,+33 5 49 86 50 21,Industrie|,prospect ,Appelé le 21/03_x000D_Joindre Mr carré au siege sociale
,LJ2,,1 bis rue de la Haie Plouvier_x000D_CRT 1,59817,LESQUIN,+33 3 20 16 98 98,VPC|Distribution/,prospect ,"* cadeaux d'affaires_x000D_* http://lj2.fr/_x000D__x000D_17/05/11 : contact Anne : en pleine période de bilan, me conseille de la rappeler en aout, à recruter un commercial il y a pas longtemps, pas fermé pour nous rencontrer > rel en aout_x000D_02/08/11 : Anne DEMARTHE : pas de projet de recutement, env cc > rel début année anne@lj2.com_x000D_05/01/12 : Anne DEMARTHE : pas de projet à 6 mois_x000D_26/06: tjs pas de projets actu....bon contact, la relnacer en octobre? mail env ce jour"
8010Z,LOOMIS,,12 rue du Mt terre_x000D_CRT 2_x000D_BP 217,59812,LESQUIN,+33 3 28 16 80 50,Transports-Fret-Messagerie Express|Services - Conseil/,prospect ,"* transport de fonds_x000D__x000D_19/05/11 : contact Mme DHAIFNE,rh : l'agence fait remonter le besoin au siège,le siège valide et l'agence s'occupe du recrutement en faisant appel à ses connaissances ou agences pour des remplacements. Le siège en Alsace s'occupe et supervise les recrutements des cadres : Mme GHIELMI est rrh et Mme WEETERER est son assitante au siège en Alsace 03 89 52 83 23_x000D_Me dit d'envoyer de lui envoyer un mail pour obtenir un rdv avec son dg  > rel agence pour rdv et siège_x000D_23/05/11 : pas eu le temps_x000D_26/05/11 : contact siège : accords cadre compliqué"
,LOOTEN,,,,dunkerque,+33 3 28 29 68 67,fournitures et materiels industriels,prospect ,Veronique DUMOULIN_x000D_Ils travaillent avec INTEGRA
4652Z,LUMIPLAN,,"rue du pic au vent_x000D_Bât. ""CRT Espace Services"" CRT1",59817,LESQUIN,+33 3 20 17 07 88,,prospect ,peu d'infos : matériel électique et électronique_x000D__x000D_17/05/11 : l'agence a du fermer car ca ne repond jamais
,LUMIVER OPTIM,,,,seclin,0320965025,Energie-Environnement|Industrie/,prospect ,
,LYRECO,,,59770,Marly,0327236400,Distribution spécialisée|Distribution/,prospect ,* http://www.nordjob.com/lyreco/_x000D__x000D_(r comptable : http://www.nordjob.com/lyreco/)_x000D_01/12/11 : env mail valerie.valin@lyreco.com_x000D_
,MABEO INDUSTRIES,,,59303,VALENCIENNES,0327091750,Industrie|,prospect ,http://www.nordjob.com/entreprise/349/Phildar.htm
,MACOPHARMA,,,,,0320118430,,prospect ,Soustraitent 1 à 2 recrutments par an surtout en R&D._x000D_Pas de partenariat avec des cabinets de recrutements. Appellent en fonction des besoins_x000D_Pas de recrutement à 3 mois._x000D_Envoyé mail_x000D_Rappeller en juillet 
,MALENGE IMPRIMERIE,,,,,0327943180,,prospect ,
,MANUTEC,,,,seclin,+33 3 20.68.16.96,,prospect ,"* Pavés, Dalles, Pierre naturelle pour le professionnel du paysage_x000D_* http://www.manutec.fr/_x000D__x000D_(r vendeur conseil sedentaire) _x000D_aout 11: contact delphine  ; dans 1er temps propres moyens, env mail delphine@manutec.fr ;_x000D_27/09/11 : le recrutement est prévu pour debut 2012_x000D_05/01/12 : la rel en mars_x000D_contact le 21/03: a limpression dêtre hacelée par les cabinets sans arrêt!! reviendra vers moi si besoin... "
,MARINE HARVEST BOULOGNE,,"1, rue de Marengo _x000D_",62200,Boulogne sur Mer,+33 21 10 67 67,Industrie|,prospect ,Appelé le 21/03_x000D_Absent pour le moment (voyage d'affaires)._x000D_Responsable du recrutement Mr POLY._x000D_3 comptables en poste
,MARKETING DTC,,_x000D_6bis rue Frédéric Mottez_x000D__x000D__x000D_,,LILLE,+33 3 20 97 97 62,ETUDE MARKETING,prospect ,
,MATCH SUPERMARCHES,,250 RUE DU GENERAL DE GAULLE,59110,La Madeleine,+33 3 20 42 63 63,Hyper-Super-Grands Magasins|Distribution/,prospect ,"_x000D_Recrute : http://emploi.supermarchesmatch.fr/nos-offres.php_x000D__x000D_31/05/11 : contact Mme WUILLAU(assit rh ) : travaille déjà avec un cabR, pas d'exclusivité, me demande une plaquette avec nos tarifs pour un poste de Dir de mag_x000D_18/08/11 : contact Mme ALBENESIUS Aurélie (DRH pôle support) :  me dit que pour le poste de ""agréeur produit frais""  elle doit faire le point avec le responsable qui est actuellement en congé : env mail : aalbenes@supermarchesmatch.fr ; rel mi septembre  ATTENTION : relir le poste _x000D_12/10/11 : Mme WUILLAU : Mme ALBENESIUS est très occupée, fonctionne à l'inverse = si besoin > appelle les cabR    > rel fin d'année_x000D_13/12/11 : Mme WUILLAU : fonctionne principalement en interne, travaille avec des cabR mais peuvent tenter l'expérience avec d'autres cabinets, renv mail swuillau@supermarchesmatch.fr_x000D_02/02/11 : """" : très occupé, période chargé, me conseille de la rappeler fin mars_x000D_4/04/12: j'ai eu mme Wuillaume en direct, me dit qu'elle n'a pas trop le temps de me recevoir car ne travaille pas q sur le recrutement....personne chez eux est à temps plein sur le recruteemnt....ont qq postes à pourvoir (voir leur site), lui ai proposé de revenir vers elle d'ici qq semn pour savoir ou en sont les recrutements....lui ai envoyé un mail ce jour avec mes coordonnées. swuillau@supermarchesmatch.fr_x000D_13/06/12: pas dispo, rapp + tard_x000D_26/06: se font solliciter ts les j! mail env ce 26/06...._x000D__x000D_"
